benchmark,n,sample,time
compose_small,6,4,0.001987938606180251
compose_small,6,5,0.0020811212016269565
compose_small,6,6,0.002039780397899449
compose_small,6,7,0.0020504734013229607
compose_small,6,8,0.002090746199246496
compose_small,6,9,0.0020580247975885866
compose_small,7,0,0.0020529133966192604
compose_small,7,1,0.001975782192312181
compose_small,7,2,0.0021878620027564466
compose_small,7,3,0.0020113113918341697
compose_small,7,4,0.002111437602434307
compose_small,7,5,0.0020881606033071876
compose_small,7,6,0.002086617995519191
compose_small,7,7,0.0021171168074943124
compose_small,7,8,0.0020625556004233657
compose_small,7,9,0.002120106399524957
compose_small,8,0,0.0022362284013070165
compose_small,8,1,0.0022124029928818345
compose_small,8,2,0.0022854758077301084
compose_small,8,3,0.002349579194560647
compose_small,8,4,0.0025445685954764486
compose_small,8,5,0.002162446000147611
compose_small,8,6,0.002139763406012207
compose_small,8,7,0.0022339837974868714
compose_small,8,8,0.0021888582035899163
compose_small,8,9,0.00221470840042457
compose_small,9,0,0.002333273203112185
compose_small,9,1,0.0022241059923544526
compose_small,9,2,0.00226471780333668
compose_small,9,3,0.002165594790130854
compose_small,9,4,0.002191079000476748
compose_small,9,5,0.0022797078010626136
compose_small,9,6,0.0023092004004865883
compose_small,9,7,0.0023219082038849594
compose_small,9,8,0.002322099800221622
compose_small,9,9,0.002307481202296913
compose_small,10,0,0.002395359007641673
compose_small,10,1,0.002394483203534037
compose_small,10,2,0.0024200420011766255
compose_small,10,3,0.0025002537993714215
compose_small,10,4,0.002474398200865835
compose_small,10,5,0.002498902997467667
compose_small,10,6,0.0025938909966498613
compose_small,10,7,0.0025802180054597555
compose_small,10,8,0.0025629327981732787
compose_small,10,9,0.0025695885997265577
compose_small,11,0,0.00296686174988281
compose_small,11,1,0.0027788430015789345
compose_small,11,2,0.002898389255278744
compose_small,11,3,0.0030114760011201724
compose_small,11,4,0.002757231006398797
compose_small,11,5,0.0029300122550921515
compose_small,11,6,0.00286074799078051
compose_small,11,7,0.0030858482496114448
compose_small,11,8,0.002907807007431984
compose_small,11,9,0.002908656242652796
compose_small,12,0,0.0038649613270536065
compose_small,12,1,0.0037110899963105717
compose_small,12,2,0.003857547650113702
compose_small,12,3,0.003754731655741731
compose_small,12,4,0.00378444732632488
compose_small,12,5,0.003775615342116604
compose_small,12,6,0.0037904060057674847
compose_small,12,7,0.0038064669934101403
compose_small,12,8,0.003698615008033812
compose_small,12,9,0.003834977668399612
compose_small,13,0,0.006210811989149079
compose_small,13,1,0.005768397502833977
compose_small,13,2,0.005681778013240546
compose_small,13,3,0.005681082519004121
compose_small,13,4,0.005579480988672003
compose_small,13,5,0.005459662002976984
compose_small,13,6,0.006058757979189977
compose_small,13,7,0.005589538486674428
compose_small,13,8,0.006051264004781842
compose_small,13,9,0.005614655499812216
compose_small,14,0,0.00932163099059835
compose_small,14,1,0.009809723997022957
compose_small,14,2,0.009586713975295424
compose_small,14,3,0.010439044999657199
compose_small,14,4,0.009252153511624783
compose_small,14,5,0.009465512004680932
compose_small,14,6,0.00954954998451285
compose_small,14,7,0.010167175001697615
compose_small,14,8,0.009206485992763191
compose_small,14,9,0.009901072509819642
compose_small,15,0,0.016569661034736782
compose_small,15,1,0.016636785003356636
compose_small,15,2,0.016807983978651464
compose_small,15,3,0.01770144497277215
compose_small,15,4,0.017109763983171433
compose_small,15,5,0.017197226989082992
compose_small,15,6,0.017718193994369358
compose_small,15,7,0.018075618019793183
compose_small,15,8,0.018178940983489156
compose_small,15,9,0.017574961006175727
compose_small,16,0,0.03382316400529817
compose_small,16,1,0.03350306395441294
compose_small,16,2,0.03426755598047748
compose_small,16,3,0.035674988001119345
compose_small,16,4,0.03345877898391336
compose_small,16,5,0.03417475300375372
compose_small,16,6,0.03478908399119973
compose_small,16,7,0.03509642800781876
